trade_date,Open,Close,High,Low,Volume,CPI,PPI,PMI,Close_Trend,Close_Seasonal,Close_Residual,Log_Return,Daily_PCT_Change,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Volume_outlier,Volume_corrected,Mean,EMA,Volatility,Long_Mean,Long_Volatility,CPI_Volatility,PPI_Volatility,PMI_Volatility,CPI_YoY,CPI_MoM,CPI_Trend,CPI_Cycle,CPI_12M_Mean,CPI_12M_Vol,PPI_YoY,PPI_MoM,PPI_Trend,PPI_Cycle,PPI_12M_Mean,PPI_12M_Vol,PMI_YoY,PMI_MoM,PMI_Trend,PMI_Cycle,PMI_12M_Mean,PMI_12M_Vol,lag_CPI,lag_PPI,lag_PMI,Lag_5,Lag_10,Lag_22,Return,Volatility_Spread,Vol_PMI_Corr,Trend_Inflation_Spread,High_Inflation,Economic_Expansion,PMI_Price_Corr,Stagflation_Risk
2005-01-04,994.770,982.79,994.770,980.660,7412868.0,100.60,105.80,54.7,0.0,1.0116097212287194,0.0,0.0,0.0,0.0,-1.22502167886841,0,False,7412868.0,0.0,982.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.4468679380635,0.1531320619364891,100.6,0.0,0,0,105.86144550404411,-0.06144550404411575,105.8,0.0,0.0,0.0,54.675841642536305,0.024158357463697655,54.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
2005-01-05,981.580,992.56,997.320,979.880,7119108.0,100.60,105.80,54.7,0.0,1.013648481602703,0.0,0.009891998549532864,0.994108609163713,-0.03962838674585867,-1.2287488210416788,0,False,7119108.0,0.0,983.7204761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.46666954619519,0.13333045380480257,100.6,0.0,0,0,105.85585781816553,-0.05585781816553492,105.8,0.0,0.0,0.0,54.66809881731304,0.03190118268696551,54.7,0.0,0,0,0.0,0.0,0.0,0.0,0.994108609163713,0.0,0.0,0.0,0,0,0.0,0
2005-01-06,993.330,983.17,993.790,980.330,6288029.0,100.60,105.80,54.7,0.0,1.0117303906275728,0.0,-0.009505418960189744,-0.9460385266381821,-0.1167392038440771,-1.2392933117491207,0,False,6288029.0,0.0,983.6680498866212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.48648178849785,0.11351821150213937,100.6,0.0,0,0,105.85026586523807,-0.050265865238074525,105.8,0.0,0.0,0.0,54.66035766975348,0.039642330246522306,54.7,0.0,0,0,0.0,0.0,0.0,0.0,-0.9460385266381821,0.0,0.0,0.0,0,0,0.0,0
2005-01-07,983.050,983.96,995.710,979.810,7298694.0,100.60,105.80,54.7,0.0,1.007038053744135,0.0,0.000803200645073104,0.0803523297090214,0.16072842539371246,-1.2264702856579348,0,False,7298694.0,0.0,983.6958546593239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.50632455820174,0.09367544179825416,100.6,0.0,0,0,105.84466149919767,-0.04466149919767304,105.8,0.0,0.0,0.0,54.65262209288125,0.047377907118750784,54.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0803523297090214,0.0,0.0,0.0,0,0,0.0,0
2005-01-10,983.760,993.88,993.960,979.790,5791697.0,100.60,105.80,54.7,0.0,1.013899558801872,0.0,0.01003122920322784,1.0081710638643715,-0.2064748844108275,-1.2455906290460395,0,False,5791697.0,0.0,984.6657732631978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.52622563174623,0.07377436825376549,100.6,0.0,0,0,105.83903308329516,-0.03903308329516619,105.8,0.0,0.0,0.0,54.64489873265957,0.05510126734043297,54.7,0.0,0,0,0.0,0.0,0.0,0.0,1.0081710638643715,0.0,0.0,0.0,0,0,0.0,0
2005-01-11,994.190,997.14,999.550,991.090,5849079.0,100.60,105.80,54.7,0.0,1.0158830973635642,0.0,0.0032747063447596298,0.3280074053205517,0.009907631562908081,-1.2448625827763413,0,False,5849079.0,0.0,985.853794857179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.54621929080969,0.0537807091903062,100.6,0.0,0,0,105.83336587928842,-0.03336587928842505,105.8,0.0,0.0,0.0,54.63719752518407,0.06280247481593193,54.7,0.0,0,0,0.0,982.79,0.0,0.0,0.3280074053205517,0.0,0.0,0.0,0,0,0.0,0
2005-01-12,996.650,996.75,996.980,989.260,5014525.0,100.60,105.80,54.7,0.0,1.0250983145036976,0.0,-0.00039119510602251536,-0.03911185991937183,-0.1426812665720535,-1.2554511632817547,0,False,5014525.0,0.0,986.8915286803048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.56634494029058,0.0336550597094174,100.6,0.0,0,0,105.82764243830454,-0.027642438304539496,105.8,0.0,0.0,0.0,54.629532233027334,0.07046776697266921,54.7,0.0,0,0,0.0,992.56,0.0,0.0,-0.03911185991937183,0.0,0.0,0.0,0,0,0.0,0
2005-01-13,996.080,996.88,999.470,992.700,6044065.0,100.60,105.80,54.7,0.0,1.028915147041604,0.0,0.00013041537314761626,0.013042387760209273,0.2053115698894712,-1.2423886566332416,0,False,6044065.0,0.0,987.8428116631328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.58664571985884,0.013354280141157915,100.6,0.0,0,0,105.82184299439572,-0.021842994395726123,105.8,0.0,0.0,0.0,54.621920980044926,0.07807901995507649,54.7,0.0,0,0,0.0,983.17,0.0,0.0,0.013042387760209273,0.0,0.0,0.0,0,0,0.0,0
2005-01-14,996.620,988.31,1006.460,987.230,7297842.0,100.60,105.80,54.7,0.0,1.032712970894296,0.0,-0.008633987918558775,-0.8596822084904976,0.2074393640703731,-1.2264810955882575,0,False,7297842.0,0.0,987.8873057904534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.60716710634134,-0.007167106341341878,100.6,0.0,0,0,105.81594586200039,-0.015945862000393163,105.8,0.0,0.0,0.0,54.61438678368734,0.08561321631266594,54.7,0.0,0,0,0.0,983.96,0.0,0.0,-0.8596822084904976,0.0,0.0,0.0,0,0,0.0,0
2005-01-17,979.110,967.45,981.530,965.080,7288188.0,100.60,105.80,54.7,0.0,1.0398454271218915,0.0,-0.02133266973411557,-2.1106737764466477,-0.001322856811643791,-1.2266035827564927,0,False,7288188.0,0.0,985.9408957151721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.62795550394551,-0.027955503945520377,100.6,0.0,0,0,105.80992783868236,-0.00992783868235847,105.8,0.0,0.0,0.0,54.606958083559206,0.09304191644079651,54.7,0.0,0,0,0.0,993.88,0.0,0.0,-2.1106737764466477,0.0,0.0,0.0,0,0,0.0,0
